代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11824732.6200000010
真實報酬,1824732.6200000010
趨勢值,0.2051696458

選擇檔數,8
找到最佳解世代,2053
找到最佳解實驗,2
Stock#,AAPL,CSCO,CVX,INTC,MCD,TRV,UNH,XOM,
分配資金,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,
張數,17445,58004,11247,52192,13437,15574,17670,13881,
剩餘資金,65.7499999999,13.8000000000,8.4200000000,1.6000000000,90.2600000001,30.7599999999,24.2000000001,15.9500000000,
FS(110),1658038.5500000000,1475635.5600000001,1464930.1699999999,1631523.5200000003,1351583.7200000000,1468658.9600000000,1450377.8000000000,1423790.1199999999,11924538.4000000004,
FS(111),1661178.6499999999,1480275.8800000001,1444910.5100000000,1631001.6000000001,1348761.9500000002,1474577.0800000001,1464337.1000000003,1412268.8899999999,11917311.6600000001,
FS(112),1682636.0000000000,1475635.5600000001,1453795.6399999999,1643527.6799999999,1350105.6499999999,1488282.2000000000,1489075.1000000001,1425317.0300000000,12008374.8600000013,
FS(113),1662923.1499999999,1488976.4800000002,1453795.6399999999,1655009.9200000002,1347821.3599999999,1494356.0600000001,1482537.2000000002,1421291.5400000000,12006711.3499999996,
FS(114),1653502.8500000001,1506957.7200000000,1472128.2499999998,1808454.3999999999,1333981.2500000000,1489216.6400000001,1480063.4000000004,1440447.3199999998,12184751.8299999982,
FS(115),1624020.8000000000,1486656.3200000001,1463018.1800000002,1758872.0000000002,1321887.9500000002,1474888.5600000001,1503917.9000000001,1420181.0600000001,12053442.7699999996,
FS(116),1647397.1000000001,1502897.4399999999,1466504.7499999998,1758872.0000000002,1330218.8899999999,1484855.9200000002,1511162.6000000001,1426011.0800000001,12127919.7800000012,
FS(117),1638849.0500000000,1499417.2000000002,1476627.0499999998,1777661.1200000001,1310869.6099999999,1483610.0000000000,1503034.4000000001,1430869.4299999999,12120937.8599999994,
FS(118),1652456.1499999999,1505217.6000000001,1491135.6800000002,1815761.2800000000,1293670.2500000000,1427076.3799999999,1520527.7000000002,1437254.6899999999,12143099.7300000004,
FS(119),1695545.3000000000,1489556.5200000000,1505756.7799999998,1800625.6000000001,1281308.2100000000,1429412.4800000000,1518584.0000000002,1447110.2000000000,12167899.0900000017,
FS(120),1692754.1000000001,1498257.1199999999,1516666.3699999999,1787577.6000000001,1281308.2100000000,1446543.8799999999,1513989.8000000003,1447526.6299999999,12184623.7099999990,
FS(121),1703918.9000000001,1506377.6799999999,1502270.2100000000,1787577.6000000001,1286279.8999999999,1434396.1599999999,1496319.8000000003,1432257.5300000000,12149397.7799999993,
FS(122),1727469.6499999999,1503477.4800000002,1498558.7000000000,1786533.7600000000,1287086.1200000001,1430969.8799999999,1515226.7000000002,1448775.9199999999,12198098.2100000009,
FS(123),1716304.8499999999,1491296.6400000001,1489336.1599999997,1784446.0800000001,1287623.5999999999,1419133.6400000001,1489075.1000000001,1437393.5000000000,12114609.5700000003,
FS(124),1712292.5000000000,1486656.3200000001,1490573.3299999998,1792796.8000000003,1289370.4100000001,1416330.3200000001,1465750.7000000002,1433229.2000000000,12086999.5800000001,
FS(125),1667807.7500000000,1463454.7200000000,1453570.7000000000,1768788.4800000002,1270692.9800000000,1394838.2000000000,1432177.7000000002,1373402.0899999999,11824732.6200000010,
